1018.80,28.05,49.00,2019:10:19:23:43,1571496180
1018.76,28.04,49.02,2019:10:19:23:44,1571496240
1018.74,28.01,49.02,2019:10:19:23:45,1571496300
1018.73,28.00,49.01,2019:10:19:23:46,1571496360
1018.66,27.98,49.04,2019:10:19:23:47,1571496420
1018.67,27.97,49.33,2019:10:19:23:48,1571496480
1018.70,27.95,49.11,2019:10:19:23:49,1571496540
1018.64,27.93,49.14,2019:10:19:23:50,1571496600
1018.71,27.90,49.15,2019:10:19:23:51,1571496660
1018.75,27.90,49.18,2019:10:19:23:52,1571496720
1018.72,27.88,49.16,2019:10:19:23:53,1571496780
1018.73,27.87,49.15,2019:10:19:23:54,1571496840
1018.72,27.86,49.20,2019:10:19:23:55,1571496900
1018.74,27.84,49.26,2019:10:19:23:56,1571496960
1018.73,27.85,49.31,2019:10:19:23:57,1571497020
1018.65,27.84,49.27,2019:10:19:23:58,1571497080
1018.63,27.82,49.30,2019:10:19:23:59,1571497140
1018.68,27.84,49.31,2019:10:20:0:0,1571497200
1018.71,27.80,49.39,2019:10:20:0:1,1571497260
1018.72,27.84,49.27,2019:10:20:0:2,1571497320
1018.66,27.84,49.32,2019:10:20:0:3,1571497380
1018.69,27.84,49.33,2019:10:20:0:4,1571497440
1018.71,27.82,49.43,2019:10:20:0:5,1571497500
1018.72,27.81,49.46,2019:10:20:0:6,1571497560
1018.68,27.82,49.40,2019:10:20:0:7,1571497620
1018.72,27.81,49.32,2019:10:20:0:8,1571497680
1018.66,27.81,49.38,2019:10:20:0:9,1571497740
1018.67,27.78,49.72,2019:10:20:0:10,1571497800
1018.60,27.77,49.69,2019:10:20:0:11,1571497860
1018.54,27.80,49.57,2019:10:20:0:12,1571497920
1018.61,27.81,49.57,2019:10:20:0:13,1571497980
1018.52,27.79,49.74,2019:10:20:0:14,1571498040
1018.57,27.79,49.74,2019:10:20:0:15,1571498100
1018.53,27.80,49.86,2019:10:20:0:16,1571498160
1018.61,27.78,50.08,2019:10:20:0:17,1571498220
1018.66,27.79,50.00,2019:10:20:0:18,1571498280
1018.61,27.76,50.10,2019:10:20:0:19,1571498340
1018.63,27.77,50.18,2019:10:20:0:20,1571498400
1018.61,27.81,50.02,2019:10:20:0:21,1571498460
1018.58,27.83,49.89,2019:10:20:0:22,1571498520
1018.57,27.82,49.94,2019:10:20:0:23,1571498580
1018.56,27.81,49.86,2019:10:20:0:24,1571498640
1018.50,27.78,49.95,2019:10:20:0:25,1571498700
1018.60,27.79,49.93,2019:10:20:0:26,1571498760
1018.54,27.77,49.87,2019:10:20:0:27,1571498820
1018.62,27.78,49.79,2019:10:20:0:28,1571498880
1018.67,27.76,49.80,2019:10:20:0:29,1571498940
1018.63,27.75,49.70,2019:10:20:0:30,1571499000
1018.61,27.78,49.69,2019:10:20:0:31,1571499060
1018.65,27.78,49.80,2019:10:20:0:32,1571499120
1018.61,27.78,49.82,2019:10:20:0:33,1571499180
1018.65,27.77,49.80,2019:10:20:0:34,1571499240
1018.60,27.77,49.74,2019:10:20:0:35,1571499300
1018.62,27.75,49.72,2019:10:20:0:36,1571499360
1018.70,27.76,49.53,2019:10:20:0:37,1571499420
1018.68,27.75,49.51,2019:10:20:0:38,1571499480
1018.66,27.70,49.61,2019:10:20:0:39,1571499540
1018.74,27.74,49.60,2019:10:20:0:40,1571499600
1018.76,27.73,49.58,2019:10:20:0:41,1571499660
1018.79,27.72,49.57,2019:10:20:0:42,1571499720
1018.73,27.69,49.58,2019:10:20:0:43,1571499780
1018.79,27.67,49.52,2019:10:20:0:44,1571499840
1018.77,27.68,49.52,2019:10:20:0:45,1571499900
1018.79,27.67,49.59,2019:10:20:0:46,1571499960
1018.75,27.65,49.67,2019:10:20:0:47,1571500020
1018.74,27.64,49.65,2019:10:20:0:48,1571500080
1018.80,27.61,49.65,2019:10:20:0:49,1571500140
1018.69,27.58,49.72,2019:10:20:0:50,1571500200
1018.64,27.58,49.67,2019:10:20:0:51,1571500260
1018.69,27.58,49.65,2019:10:20:0:52,1571500320
1018.67,27.57,49.65,2019:10:20:0:53,1571500380
1018.70,27.55,49.72,2019:10:20:0:54,1571500440
1018.62,27.52,49.78,2019:10:20:0:55,1571500500
1018.56,27.50,49.82,2019:10:20:0:56,1571500560
1018.73,27.48,49.80,2019:10:20:0:57,1571500620
1018.61,27.48,49.79,2019:10:20:0:58,1571500680
1018.60,27.49,49.78,2019:10:20:0:59,1571500740
1018.59,27.49,49.80,2019:10:20:1:0,1571500800
1018.60,27.47,49.78,2019:10:20:1:1,1571500860
1018.59,27.48,49.77,2019:10:20:1:2,1571500920
1018.65,27.47,49.73,2019:10:20:1:3,1571500980
1018.58,27.44,49.73,2019:10:20:1:4,1571501040
1018.61,27.43,49.74,2019:10:20:1:5,1571501100
1018.68,27.42,49.76,2019:10:20:1:6,1571501160
1018.62,27.40,49.76,2019:10:20:1:7,1571501220
1018.65,27.38,49.81,2019:10:20:1:8,1571501280
1018.76,27.36,49.82,2019:10:20:1:9,1571501340
1018.67,27.36,49.88,2019:10:20:1:10,1571501400
1018.69,27.37,49.83,2019:10:20:1:11,1571501460
1018.64,27.36,49.80,2019:10:20:1:12,1571501520
1018.60,27.35,49.83,2019:10:20:1:13,1571501580
1018.69,27.34,49.94,2019:10:20:1:14,1571501640
1018.69,27.34,49.91,2019:10:20:1:15,1571501700
1018.72,27.34,49.88,2019:10:20:1:16,1571501760
1018.72,27.35,49.79,2019:10:20:1:17,1571501820
1018.68,27.36,49.66,2019:10:20:1:18,1571501880
1018.63,27.39,49.59,2019:10:20:1:19,1571501940
1018.63,27.39,49.56,2019:10:20:1:20,1571502000
1018.59,27.36,49.57,2019:10:20:1:21,1571502060
1018.69,27.37,49.58,2019:10:20:1:22,1571502120
1018.63,27.37,49.59,2019:10:20:1:23,1571502180
1018.67,27.36,49.65,2019:10:20:1:24,1571502240
1018.63,27.35,49.68,2019:10:20:1:25,1571502300
1018.64,27.36,49.73,2019:10:20:1:26,1571502360
1018.70,27.36,49.72,2019:10:20:1:27,1571502420
1018.73,27.36,49.66,2019:10:20:1:28,1571502480
